optimizer,step,loss,wall_time_s,examples_per_s
adamw,1,683.5054931640625,0.05470425200110185,9359.418715563232
adamw,2,649.3740234375,0.056066222001391,18264.116315427756
adamw,3,616.6357421875,0.056666873999347445,27105.78317797604
adamw,4,585.2828369140625,0.05720622900116723,35800.2972011704
adamw,5,555.2947387695312,0.05775199300114764,44327.47455051686
adamw,6,526.646240234375,0.058289688000513706,52702.28929640053
adamw,7,499.3094482421875,0.058811762999539496,60940.18980570372
adamw,8,473.2532958984375,0.05934432600042783,69020.92038201717
adamw,9,448.44219970703125,0.060161662000609795,76593.6286792292
adamw,10,424.8380432128906,0.06073736300095334,84297.3706303258
adamw,11,402.40106201171875,0.06123987700266298,91966.21998040748
adamw,12,381.0903015136719,0.06206683799973689,98990.0597163665
adamw,13,360.86370849609375,0.06258904499918572,106344.48888118671
adamw,14,341.67803955078125,0.06311037300110911,113578.79313871317
adamw,15,323.4896240234375,0.0636724089999916,120617.39332025293
adamw,16,306.2547607421875,0.06440468300206703,127195.71959910248
adamw,17,289.93017578125,0.06499397399966256,133920.10773252902
adamw,18,274.4732360839844,0.06586000199968112,139933.1873698489
adamw,19,259.8423156738281,0.06647171599979629,146347.95948444918
adamw,20,245.99700927734375,0.06733399800214102,152077.70671324758
adamw,21,232.8983612060547,0.06785000899981242,158467.18605490128
adamw,22,220.5090789794922,0.06839840899920091,164682.19312135747
adamw,23,208.79356384277344,0.06925664200025494,170034.23296146313
adamw,24,197.7178192138672,0.06987837600172497,175848.39120612456
adamw,25,187.24937438964844,0.07069528600186459,181058.74838192746
adamw,26,177.35711669921875,0.07132592199923238,186636.21341120926
adamw,27,168.0111541748047,0.07187996100037708,192320.63857028916
adamw,28,159.1829071044922,0.07239742900128476,198018.08155018312
adamw,29,150.8449249267578,0.0730012860003626,203393.6772007859
adamw,30,142.97096252441406,0.07367993799925898,208469.23079868063
adamw,31,135.53591918945312,0.0742438109991781,213782.12926294567
adamw,32,128.5157928466797,0.0748594510005205,218863.48057623455
adamw,33,121.88764190673828,0.07539136900231824,224110.53444964578
adamw,34,115.62957000732422,0.07602259300256264,228984.55988489097
adamw,35,109.72073364257812,0.07690749500034144,233007.19910225188
adamw,36,104.14128112792969,0.07750541300265468,237815.64778409316
adamw,37,98.87239074707031,0.0781388200011861,242440.3132746622
adamw,38,93.89617919921875,0.07879279299959308,246926.13701484705
adamw,39,89.19573974609375,0.07929424699977972,251821.5476597624
adamw,40,84.75506591796875,0.07980002100157435,256641.53646771543
adamw,41,80.5590591430664,0.08041736100130947,261038.1606486462
adamw,42,76.59342956542969,0.08101056400118978,265446.8619633876
adamw,43,72.84468078613281,0.08150570500220056,270116.0611935765
adamw,44,69.30007934570312,0.08204015000228537,274597.2551168232
adamw,45,65.94766235351562,0.0826771350002673,278674.38802669576
adamw,46,62.77619934082031,0.0833939959993586,282418.4129536273
adamw,47,59.7751579284668,0.08443952000015997,284985.040179698
adamw,48,56.934627532958984,0.0852727710007457,288204.54303971294
