optimizer,step,loss,wall_time_s,examples_per_s
adamw,1,683.5054931640625,0.0527103430000011,9713.463636538834
adamw,2,649.3740234375,0.053692910000002314,19071.419299120793
adamw,3,616.6357421875,0.054238142000002654,28319.5541617175
adamw,4,585.2828369140625,0.0547080710000003,37435.06145555724
adamw,5,555.2947387695312,0.05514052200000208,46426.83651054126
adamw,6,526.646240234375,0.05556288300000034,55288.70775117953
adamw,7,499.3094482421875,0.056266553000000386,63696.81114106946
adamw,8,473.2532958984375,0.05696669200000315,71901.66492377289
adamw,9,448.44219970703125,0.05754366499999719,80078.3196551736
adamw,10,424.8380432128906,0.05837712800000361,87705.5822273354
adamw,11,402.40106201171875,0.05906284699999986,95356.05352718628
adamw,12,381.0903015136719,0.05956912399999936,103140.68073252287
adamw,13,360.86370849609375,0.06002971200000218,110878.42633660742
adamw,14,341.67803955078125,0.0605382359999993,118404.5071944297
adamw,15,323.4896240234375,0.06130115100000211,125283.12886000682
adamw,16,306.2547607421875,0.0620776929999991,131963.66688433668
adamw,17,289.93017578125,0.06282909299999773,138534.547999926
adamw,18,274.4732360839844,0.06342494900000162,145305.5957522294
adamw,19,259.8423156738281,0.06412803500000308,151696.5239929702
adamw,20,245.99700927734375,0.0648260580000013,157961.17049103611
adamw,21,232.8983612060547,0.06580399100000278,163394.34488098975
adamw,22,220.5090789794922,0.06640200200000379,169633.43966646303
adamw,23,208.79356384277344,0.06706938199999968,175579.37241765633
adamw,24,197.7178192138672,0.0677347980000036,181413.39994841866
adamw,25,187.24937438964844,0.06834525000000014,187284.41259633953
adamw,26,177.35711669921875,0.06900151399999999,192923.30310317542
adamw,27,168.0111541748047,0.06977718899999985,198116.32136685858
adamw,28,159.1829071044922,0.07032967199999973,203839.99515880088
adamw,29,150.8449249267578,0.07123760300000015,208429.24768257528
adamw,30,142.97096252441406,0.07213807200000133,212925.01413123042
adamw,31,135.53591918945312,0.07274969800000264,218172.72698505805
adamw,32,128.5157928466797,0.0734682810000038,223007.8038711584
adamw,33,121.88764190673828,0.07414076500000277,227890.8236244847
adamw,34,115.62957000732422,0.07468844600000324,233074.87211608668
adamw,35,109.72073364257812,0.07525555699999842,238121.95025013736
adamw,36,104.14128112792969,0.07610275900000119,242198.84064912432
adamw,37,98.87239074707031,0.07688498099999919,246394.02590214857
adamw,38,93.89617919921875,0.07762584800000383,250638.1637209173
adamw,39,89.19573974609375,0.07842936899999842,254598.5037824339
adamw,40,84.75506591796875,0.07915135100000015,258744.7938822922
adamw,41,80.5590591430664,0.08012006100000235,262006.79003476276
adamw,42,76.59342956542969,0.08125335599999772,264653.6839659965
adamw,43,72.84468078613281,0.08204634199999816,268336.1556813891
adamw,44,69.30007934570312,0.08265567400000151,272552.3719037073
adamw,45,65.94766235351562,0.08317961800000262,276990.9330432279
adamw,46,62.77619934082031,0.08373394699999892,281271.82395928743
adamw,47,59.7751579284668,0.08433258699999868,285346.3987770276
adamw,48,56.934627532958984,0.08483568399999797,289689.4189006667
adamw,49,54.24530029296875,0.08539062399999864,293802.7481799454
adamw,50,51.69840621948242,0.08610086699999897,297325.69359609706
adamw,51,49.285682678222656,0.08669066699999917,301208.89483985916
adamw,52,46.999351501464844,0.0872737629999989,305063.0462674142
adamw,53,44.83209991455078,0.08786999099999804,308819.87913257675
adamw,54,42.77706527709961,0.08859962599999704,312055.49332681065
adamw,55,40.82781219482422,0.08932248800000053,315262.15436363383
adamw,56,38.978309631347656,0.08999473200000097,318596.4262885931
adamw,57,37.22290802001953,0.09082533400000159,321320.0405076351
adamw,58,35.55628967285156,0.09163904100000053,324054.024092197
