optimizer,step,loss,wall_time_s,examples_per_s
adamw,1,683.5054931640625,0.039149244999862276,13078.157701426966
adamw,2,649.3740234375,0.039920921000884846,25650.710813442984
adamw,3,616.6357421875,0.041070516999752726,37399.090934483436
adamw,4,585.2828369140625,0.041769397001189645,49031.11241806221
adamw,5,555.2947387695312,0.042259150999598205,60578.5951550314
adamw,6,526.646240234375,0.042690376001701225,71960.01271756379
adamw,7,499.3094482421875,0.0431696470004681,83021.29503076867
adamw,8,473.2532958984375,0.043674427000951255,93784.85949937676
adamw,9,448.44219970703125,0.044176716000947636,104308.34197592128
adamw,10,424.8380432128906,0.04472488600003999,114477.65344768956
adamw,11,402.40106201171875,0.045811243002390256,122939.25313718608
adamw,12,381.0903015136719,0.04677301300034742,131357.79813787845
adamw,13,360.86370849609375,0.047557297999446746,139957.48875550987
adamw,14,341.67803955078125,0.04837781000242103,148167.10387761006
adamw,15,323.4896240234375,0.0491966660010803,156108.13951968527
adamw,16,306.2547607421875,0.05013193999911891,163408.79686969979
adamw,17,289.93017578125,0.05069821399956709,171682.5764330539
adamw,18,274.4732360839844,0.05149049000101513,178984.50762108318
adamw,19,259.8423156738281,0.05204627800048911,186910.57984796877
adamw,20,245.99700927734375,0.05290999800126883,193536.20084722806
adamw,21,232.8983612060547,0.053912934999971185,199432.65934243324
adamw,22,220.5090789794922,0.0544231089988898,206970.9027507006
adamw,23,208.79356384277344,0.05532621500242385,212846.6586677598
adamw,24,197.7178192138672,0.05591438800183823,219764.5443172162
adamw,25,187.24937438964844,0.05642866900234367,226835.05080490865
adamw,26,177.35711669921875,0.05706278599973302,233286.89209219968
adamw,27,168.0111541748047,0.058341685002233135,236948.93281657636
adamw,28,159.1829071044922,0.059194320001552114,242185.3988630007
adamw,29,150.8449249267578,0.06001294200177654,247413.299610615
adamw,30,142.97096252441406,0.06074340100167319,252866.9739709982
adamw,31,135.53591918945312,0.0612394010022399,259179.54356574232
adamw,32,128.5157928466797,0.06174173600084032,265363.44879867014
adamw,33,121.88764190673828,0.06236057299975073,270940.42256583396
adamw,34,115.62957000732422,0.06278113100051996,277280.76450001873
adamw,35,109.72073364257812,0.06326856899977429,283237.0050927488
adamw,36,104.14128112792969,0.06376988600095501,289039.2496502811
adamw,37,98.87239074707031,0.06428189600046608,294701.948428258
adamw,38,93.89617919921875,0.06490110899903812,299779.16094297176
adamw,39,89.19573974609375,0.06552465899949311,304740.235277752
adamw,40,84.75506591796875,0.06632188500225311,308797.0132227732
adamw,41,80.5590591430664,0.06680785099888453,314214.56739194464
adamw,42,76.59342956542969,0.06733506499949726,319358.1234407445
adamw,43,72.84468078613281,0.06788767000034568,324300.4215623823
adamw,44,69.30007934570312,0.06843788400146877,329174.4087166184
adamw,45,65.94766235351562,0.06896438200055854,334085.4993786996
adamw,46,62.77619934082031,0.06995962400105782,336651.3233353553
adamw,47,59.7751579284668,0.07081839300008141,339798.72997079074
adamw,48,56.934627532958984,0.07135158000164665,344435.25986996834
adamw,49,54.24530029296875,0.07188220999887562,349015.4239886674
adamw,50,51.69840621948242,0.07242904400118277,353449.3703876852
adamw,51,49.285682678222656,0.07294011200065142,357992.3211492573
adamw,52,46.999351501464844,0.07346186300128466,362419.34130549367
adamw,53,44.83209991455078,0.07402225300029386,366592.4624030597
adamw,54,42.77706527709961,0.07468106899978011,370214.3042446461
adamw,55,40.82781219482422,0.0751804310020816,374565.55681651126
adamw,56,38.978309631347656,0.07561537999936263,379182.1187732136
adamw,57,37.22290802001953,0.07615755200095009,383205.5946288284
adamw,58,35.55628967285156,0.07666034800058696,387371.056543764
adamw,59,33.97349166870117,0.07710543400025927,391775.2411574316
adamw,60,32.46984100341797,0.07769135200214805,395410.8045275186
adamw,61,31.04096794128418,0.07817073399928631,399535.7137146127
adamw,62,29.682743072509766,0.07962943199891015,398646.5707859685
adamw,63,28.39129066467285,0.08020317499904195,402178.5920617894
adamw,64,27.162948608398438,0.08100386500154855,404523.9075860587
adamw,65,25.994277954101562,0.08182377599950996,406727.74622622295
adamw,66,24.882051467895508,0.08241333200203371,410030.74598617264
adamw,67,23.823226928710938,0.08291325599930133,413733.6012987967
adamw,68,22.81494903564453,0.08372427400172455,415841.1693039328
adamw,69,21.85452651977539,0.0843527159995574,418812.8334858283
adamw,70,20.93943977355957,0.08489522200034116,422167.4571963069
