optimizer,final_step,final_loss,wall_time_s,throughput,throughput_col,target_loss,time_to_target_s,steps_to_target
adamw,200,0.3275205492973327,0.1712307799971313,598023.3226860004,examples_per_s,2.0,0.1337132320004457,135
muon,200,10.952478408813477,0.3953091170005791,259037.78991226756,examples_per_s,2.0,,-1
newton_muon,200,1.4260234832763672,0.4416773630000534,231843.44179302576,examples_per_s,2.0,0.3829999949994089,171
