optimizer,step,loss,wall_time_s,examples_per_s
adamw,1,683.5054931640625,4.2672036215662956e-05,11998490.004375938
adamw,2,649.3740234375,0.002825391013175249,362427.71185472194
adamw,3,616.6357421875,0.0033736799960024655,455289.18030756747
adamw,4,585.2828369140625,0.003824677027296275,535470.0502509525
adamw,5,555.2947387695312,0.004282439011149108,597790.1829623661
adamw,6,526.646240234375,0.004792015999555588,641066.3070166914
adamw,7,499.3094482421875,0.005464742018375546,655840.657792915
adamw,8,473.2532958984375,0.0062390579842031,656509.3657361115
adamw,9,448.44219970703125,0.006947576010134071,663252.9091122642
adamw,10,424.8380432128906,0.007548813009634614,678252.328341595
adamw,11,402.40106201171875,0.008203832025174052,686508.4490659732
adamw,12,381.0903015136719,0.008743693004362285,702677.91846474
adamw,13,360.86370849609375,0.009229501010850072,721165.7479830491
adamw,14,341.67803955078125,0.009778879990335554,733008.2797911539
adamw,15,323.4896240234375,0.010237117006909102,750211.2161868145
adamw,16,306.2547607421875,0.010678820020984858,767125.9543565647
adamw,17,289.93017578125,0.011158741021063179,780016.3104036895
adamw,18,274.4732360839844,0.011628446984104812,792539.1939781434
adamw,19,259.8423156738281,0.012037079024594277,808169.488637871
adamw,20,245.99700927734375,0.012520011980086565,817890.591182102
adamw,21,232.8983612060547,0.012976108002476394,828599.7618043916
adamw,22,220.5090789794922,0.013443193980492651,837896.1142973263
adamw,23,208.79356384277344,0.013971970998682082,842830.2636121118
adamw,24,197.7178192138672,0.014676687016617507,837246.1704802355
adamw,25,187.24937438964844,0.015115853981114924,846793.043647534
adamw,26,177.35711669921875,0.015559486986603588,855555.1999536598
adamw,27,168.0111541748047,0.016049518017098308,861334.2771585191
adamw,28,159.1829071044922,0.016547825012821704,866337.4182946748
adamw,29,150.8449249267578,0.01698350498918444,874260.054650416
adamw,30,142.97096252441406,0.01742723403731361,881379.1085328035
adamw,31,135.53591918945312,0.017996806011069566,881934.2715722651
adamw,32,128.5157928466797,0.01880387298297137,871309.8633902288
adamw,33,121.88764190673828,0.019266822026111186,876947.9459093902
adamw,34,115.62957000732422,0.01967356202658266,884842.3064658316
adamw,35,109.72073364257812,0.020091440004762262,891922.1318010273
adamw,36,104.14128112792969,0.020517013035714626,898376.3849013901
adamw,37,98.87239074707031,0.02092523203464225,905318.5153998642
adamw,38,93.89617919921875,0.021415419992990792,908504.2463032663
adamw,39,89.19573974609375,0.022112420992925763,903021.8810680292
adamw,40,84.75506591796875,0.0225861570215784,906750.0938930772
adamw,41,80.5590591430664,0.023130107030738145,907561.7320794597
adamw,42,76.59342956542969,0.023824600037187338,902596.4745026082
adamw,43,72.84468078613281,0.024367170000914484,903510.7482392807
adamw,44,69.30007934570312,0.024932481988798827,903560.2636801637
adamw,45,65.94766235351562,0.02542689599795267,906127.1183810695
adamw,46,62.77619934082031,0.02587200002744794,910327.7665048462
adamw,47,59.7751579284668,0.02637722302461043,912302.2532564497
adamw,48,56.934627532958984,0.02705393102951348,908407.7272611411
adamw,49,54.24530029296875,0.027622195018921047,908255.118132895
adamw,50,51.69840621948242,0.028189581003971398,908136.9459302508
