optimizer,step,loss,wall_time_s,examples_per_s
adamw,1,683.5054931640625,0.03585514999940642,14279.678093899372
adamw,2,649.3740234375,0.03698007599814446,27690.58668379646
adamw,3,616.6357421875,0.03741873100079829,41048.96021105663
adamw,4,585.2828369140625,0.03798838099828572,53911.22090968864
adamw,5,555.2947387695312,0.03881553599785548,65952.97306061773
adamw,6,526.646240234375,0.039527255001303274,77718.52611315183
adamw,7,499.3094482421875,0.04011792099845479,89336.6333748462
adamw,8,473.2532958984375,0.04052965499795391,101061.80277643078
adamw,9,448.44219970703125,0.04095343099834281,112518.04519593154
adamw,10,424.8380432128906,0.04138090500055114,123728.5651421062
adamw,11,402.40106201171875,0.04175134300021455,134893.86437152594
adamw,12,381.0903015136719,0.04213270800028113,145824.94910982234
adamw,13,360.86370849609375,0.04251380799905746,156560.8989942177
adamw,14,341.67803955078125,0.04333388799932436,165413.2673281419
adamw,15,323.4896240234375,0.04402013000071747,174465.63651390455
adamw,16,306.2547607421875,0.04444353800136014,184323.75927742958
adamw,17,289.93017578125,0.04486794100012048,193991.5183533077
adamw,18,274.4732360839844,0.04528489299991634,203511.57724976906
adamw,19,259.8423156738281,0.04565031799938879,213098.18696400424
adamw,20,245.99700927734375,0.046129440001095645,221984.05182800363
adamw,21,232.8983612060547,0.04670985199845745,230186.98497171592
adamw,22,220.5090789794922,0.04710988199803978,239100.57767643506
adamw,23,208.79356384277344,0.047526537000521785,247777.36277883477
adamw,24,197.7178192138672,0.048191604000749066,254982.1748993663
adamw,25,187.24937438964844,0.0487370689988893,262633.7665133639
adamw,26,177.35711669921875,0.04914576399824,270867.6988005869
adamw,27,168.0111541748047,0.049536812999576796,279065.18734093977
adamw,28,159.1829071044922,0.04991561800125055,287204.69812956813
adamw,29,150.8449249267578,0.05034947699823533,294898.7931000832
adamw,30,142.97096252441406,0.05081400400013081,302278.8757201747
adamw,31,135.53591918945312,0.05120565199831617,309965.7826937138
adamw,32,128.5157928466797,0.05157647699888912,317664.1940928398
adamw,33,121.88764190673828,0.05194071200094186,325293.9620791802
adamw,34,115.62957000732422,0.05243959499784978,331962.8994219691
adamw,35,109.72073364257812,0.05310122900118586,337468.64878776745
adamw,36,104.14128112792969,0.05375463900054456,342891.3363144951
adamw,37,98.87239074707031,0.05426528699899791,349099.7845519518
adamw,38,93.89617919921875,0.054890035000425996,354454.13725549646
adamw,39,89.19573974609375,0.05529348900017794,361127.5099666028
adamw,40,84.75506591796875,0.0558536649987218,366672.446659833
adamw,41,80.5590591430664,0.0562780020009086,373005.4240315974
adamw,42,76.59342956542969,0.05669199099793332,379312.83804768685
adamw,43,72.84468078613281,0.05721125700074481,384819.3721685469
adamw,44,69.30007934570312,0.05769965600120486,390435.60328209895
adamw,45,65.94766235351562,0.05813178300013533,396340.84507516935
adamw,46,62.77619934082031,0.05872841900054482,401032.4200925877
adamw,47,59.7751579284668,0.059251642000162974,406132.2047401456
adamw,48,56.934627532958984,0.059703799000999425,411632.0973073858
adamw,49,54.24530029296875,0.06009387800077093,417480.130000566
adamw,50,51.69840621948242,0.06050745600077789,423088.3545933725
adamw,51,49.285682678222656,0.06086892899838858,428987.3409911858
adamw,52,46.999351501464844,0.06160167399866623,432196.0471492455
adamw,53,44.83209991455078,0.06230600799972308,435527.8226157678
